Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
12.8,85.0,5.0,10.0,2.0,3.0,4.0,0,1,0
5.4,45.0,5.0,4.0,4.0,3.0,4.0,0,1,0
15.0,95.0,5.0,15.0,2.0,2.0,2.0,0,1,0
7.5,48.0,4.0,6.0,4.0,4.0,5.0,0,1,0
7.2,71.1,5.0,3.0,4.0,5.0,5.0,0,1,0
4.8,61.0,5.0,4.0,1.0,2.0,2.0,0,1,0
8.2,63.0,4.0,4.0,3.0,4.0,5.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
4.0,29.0,3.0,6.0,4.0,4.0,3.0,0,1,0
4.0,29.0,3.0,6.0,4.0,4.0,3.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
6.5,55.0,6.0,5.0,4.0,5.0,4.0,0,1,0
50.0,405.0,15.0,10.0,3.0,5.0,6.0,0,1,0
125.0,233.0,10.0,10.0,4.0,6.0,8.0,0,1,0
7.0,70.0,4.0,6.0,4.0,6.0,4.0,0,0,1
16.0,125.0,7.0,8.0,5.0,5.0,7.0,0,0,1
4.5,59.0,4.0,4.0,3.0,3.0,1.0,0,1,0
10.3,100.0,5.0,4.0,4.0,7.0,7.0,0,0,1
4.3,50.0,5.0,3.0,2.0,2.0,2.0,0,1,0
6.3,70.0,4.0,6.0,3.0,4.0,5.0,0,1,0
12.5,56.0,1.0,1.0,1.0,1.0,1.0,0,1,0
5.7,43.5,3.0,3.0,4.0,5.0,4.0,0,1,0
1.4,56.0,1.0,5.0,1.0,2.0,3.0,0,0,1
6.2,66.1,5.0,6.0,3.0,3.0,3.0,0,1,0
125.0,233.0,10.0,10.0,4.0,6.0,8.0,0,1,0
16.0,96.0,4.0,10.0,2.0,2.0,2.0,0,1,0
3.1,44.0,4.0,6.0,2.0,2.0,1.0,0,1,0
